dialog_node,node_detail,text,parent,condition
21,0_0,"아래의 버튼을 클릭해보세요!<br> 동원몰 회원혜택에 대한 상세 안내페이지로 이동합니다.<br><br><a href='javascript:window.parent.postMessage(\""http://www.dongwonmall.com/benefit/member.do\"",\""*\"")'>\n<button class=\""ext_btn\"" type=\""button\"">회원혜택 보러가기</button></a>",default,END
22,0,"동원몰을 떠나시려고 하시나요? <br> 정말 아쉽습니다..<br> 회원탈퇴를 원하시면 먼저 로그인 후<br>[MY동원몰]에 들어가셔서 좌측 ‘회원정보 관리’ 메뉴 중 맨 마지막에 있는 [회원탈퇴]를 클릭하시면 됩니다. <br> 회원탈퇴 시 유의할 점을 알려드릴까요? ""<button class=""dial_btn f"">네</button><button class=""dial_btn"">아니오</button>",default,YNO
22,0-Y,회원탈퇴 시 유의할 점 알려드릴게요!,default,seq
22,0-Y_0,"1) 탈퇴 시, 고객님께서 보유하고 계신 적립금/포인트와 쿠폰은 모두 자동 소멸됩니다. <br> 동원몰의 회원서비스를 더 이상 이용하실 수 없으며, 회원 혜택 또한 받으실 수 없습니다. <br> 모바일 쿠폰의 거래가 있는 경우 고객센터 통해서 탈퇴신청 부탁드리며, 탈퇴신청 사유도 함께 기재부탁드립니다~ <br><br> 2) 진행중인 주문이 있을 경우 탈퇴가 불가능합니다. <br> 해당 주문이 처리 완료된 후에 다시 탈퇴 신청 부탁드립니다.<br><br>3) 탈퇴 후, 고객님의 정보는 전자상거래 소비자보호법에 의거한 동원몰 개인정보보호정책에 따라 관리됩니다.<br><br>4) 탈퇴처리 이후에는 가입기간에 이용하셨던 이벤트를 포함한 모든 내역의 조회, 상담과 제반 서비스(교환/반품/AS)등에 제한이 생길 수 있음을 양지하여 주시기 바랍니다.<br><br>5) 회원탈퇴 후, 3개월 이내 재가입이 불가능하며, 재가입 시에는 신규가입으로 처리됩니다.<br><br>6) 탈퇴 후에는 회원정보 삭제로 인해 작성자 본인을 확인 할 수 없으므로 게시물 삭제 처리가 불가능합니다.<br>삭제를 원하시는 경우에는 먼저 삭제를 완료한 후, 탈퇴를 신청하시기 바랍니다.",default,seq
22,0-Y_1,재가입 관련 유의사항도 설명드릴까요? <br>네 아니오로 말씀해주세요~,default,YNO
22,0-Y_1-Y,재가입 관련 유의사항입니다~,default,seq
22,0-Y_1-Y_0,,default,
22,0-Y_1-N,,default,
22,0-Y_1-O,"네, 아니오가 아닌 다른 답변을 주셨네요! <br>다른 도움이 필요하신가요? 질문해주세요!",default,BACK
22,0-N,그럼 재가입 관련 유의사항을 알려드릴까요? 네 아니오로 말씀해주세요~,default,seq
22,0-N-Y,,,
22,0-N-N,알겠습니다~,default,END
22,0-O,"네, 아니오가 아닌 다른 답변을 주셨네요! <br>다른 도움이 필요하신가요? 질문해주세요!",default,BACK
23,0,"동원몰 ID를 잊으셨나요? <br>아이디 찾기를 이용하시거나 고객센터 1588-3745로 문의주시면 도와드리겠습니다. <br>아이디 찾기 이용 시 휴대폰 본인인증을 통해 웹에서 바로 회원 ID를 확인하실 수 있습니다. <br>아래의 버튼을 클릭하시면 아이디 찾기 페이지로 이동합니다.<br><br><a href='javascript:window.parent.postMessage(""http://www.dongwonmall.com/secure/findId.do"",""*"")'>
<button class=""ext_btn"" type=""button"">아이디 찾기</button></a>",default,END
24,0,"동원몰 비밀번호를 잊으셨나요? <br>비밀번호 찾기를 이용하시거나 고객센터 1588-3745로 문의주시면 도와드리겠습니다. <br>비밀번호 찾기 이용 시 휴대폰 본인인증을 통해 찾으실 수 있습니다.<br><br>아래의 버튼을 클릭하시면 비밀번호 찾기 페이지로 이동합니다.<br><a href='javascript:window.parent.postMessage(""http://www.dongwonmall.com/secure/findPw.do"",""*"")'>
<button class=""ext_btn"" type=""button"">비밀번호 찾기</button></a>",default,END
25,0,"고객님 회원 가입이 안되신다구요?<br> 그렇다면 이미 동원몰 회원이신 경우입니다. <br>먼저 온라인으로 본인의 ID 와 비밀번호를 조회하신 후 회원 가입 여부를 확인해 주세요. <br><br><a href='javascript:window.parent.postMessage(""http://www.dongwonmall.com/secure/findId.do"",""*"")'>
<button class=""ext_btn"" type=""button"">아이디 찾기</button></a><a href='javascript:window.parent.postMessage(""http://www.dongwonmall.com/secure/findPw.do"",""*"")'>
<button class=""ext_btn"" type=""button"">비밀번호 찾기</button></a>",default,seq
25,0_0,"이미 회원으로 가입하신 고객님께서는 기존에 등록하셨던 ID와 비밀번호로 로그인하시면 됩니다.<br>만일 회원가입을 하신 적이 없는데 회원가입이 되지 않으신다면 동원몰 콜센터 1588-3745로 연락주세요.<br>※ 콜센터 운영시간  : AM 09:00 ~ PM 06:00, 점심시간 : PM 12:00 ~ 01:00, 토,일, 공휴일 휴무",default,END
26,0,"고객님 동원몰 회원서비스는 고객님께 보다 안전하고 편리한 서비스를 제공하기 위해 공정거래 위원회가 승인한 표준약관을 사용하고 있습니다.<br> 구체적인 내용을 확인하시고 싶으신가요?<br> 아래의 버튼을 클릭하시면 동원몰 이용약관 전문을 열람하실 수 있습니다.<br><br><a href='javascript:window.parent.postMessage(""http://www.dongwonmall.com/customer/guide.do?num=08"",""*"")'>
<button class=""ext_btn"" type=""button"">동원몰 이용약관</button></a>",default,END
27,0,"고객님 탈퇴했던 아이디로는 재가입이 불가능합니다.<br>재가입하실 경우 신규가입으로 처리되오니 유의해주시기 바랍니다.<br><br>추가 문의사항이 있으실 경우 1:1 맞춤상담에 문의하시면 맞춤 답변을 받으실 수 있습니다.<br><a href='javascript:window.parent.postMessage(""http://www.dongwonmall.com/customer/counsel.do"",""*"")'>
<button class=""ext_btn"" type=""button"">고객센터 - 1:1 맞춤상담</button></a>",default,END
28,0,"고객님 회원탈퇴와 동시에 적립금, 할인쿠폰, 씨앗은 자동 소멸되며 재가입하시더라도 이동 및 복구되지 않습니다.<br>이 점 유의해주시기 바랍니다.<br><br>추가 문의사항이 있으실 경우 1:1 맞춤상담에 문의하시면 맞춤 답변을 받으실 수 있습니다.<br><a href='javascript:window.parent.postMessage(""http://www.dongwonmall.com/customer/counsel.do"",""*"")'>
<button class=""ext_btn"" type=""button"">고객센터 - 1:1 맞춤상담</button></a>",default,END
29,0,"고객님 동원몰 회원제도는 PREMIUM, VIP, GOLD, FAMILY 의 4개 등급으로 나뉘어 회원등급별 혜택이 제공되고 있습니다!<br>상세한 혜택 내용은 아래의 버튼을 클릭하시면 푸짐한 회원 혜택을 확인하실 수 있는 페이지로 이동합니다!<br><br><a href='javascript:window.parent.postMessage(""http://www.dongwonmall.com/benefit/member.do"",""*"")'>
<button class=""ext_btn"" type=""button"">회원 혜택 보러가기</button></a>",default,END
30,0,"동원몰에서만 누리실 수 있는 즐거움! <br>동원F&B의 신제품과 인기상품을 체험해보실 수 있는 이벤트입니다. <br>블로그를 비롯한 SNS를 운영 중이시며, 체험후기를 정성껏 남겨주실 수 있는 동원몰 회원이라면 누구나 응모하실 수 있어요~",default,seq
30,0_0,체험단이벤트 신청 방법에 대해 안내해드릴까요? 네 아니오로 말씀해주세요~,default,YNO
30,0_0-Y,"먼저, 체험단이벤트 페이지로 들어가주세요.<br> 홈페이지 상단의 ‘이벤트’ ? ‘체험단이벤트’를 클릭하시거나<br> 아래의 <체험단이벤트>를 클릭하시면 체험단이벤트 페이지로 이동합니다.<br><br> <a href='http://www.dongwonmall.com/event/eventList.do?E_GBN_CD=01' target=\""_blank\""><체험단이벤트></a>",default,seq
30,0_0-Y_0,"‘진행중 체험단이벤트’를 클릭해주세요. <br>해당 체험단이벤트 페이지에서 응모기간과 제품정보, 당첨발표일을 꼼꼼히 확인하신 후, 하단의 댓글 작성란에 댓글로 체험단 신청을 해주시면 됩니다.<br> # 블로그 또는 SNS 주소를 기재하여 신청해주세요.<br> 블로그 또는 SNS 주소가 없을 시 체험단에서 제외될 수 있습니다. <br>본인 블로그 또는 SNS가 아닐 시 체험단에서 제외될 수 있습니다. <br># 댓글 삭제 시 응모가 취소되오니 유의하시기 바랍니다",default,seq
30,0_0-Y_1,당첨자 발표는 동원몰 홈페이지 ‘이벤트’ ? ‘당첨자발표’ 게시판에서 확인하실 수 있습니다. <br>당첨자분께는 SMS문자발송으로도 안내해드립니다. <br>당첨자께서 기간 내에 배송비를 결제완료해주시면 체험단 상품을 배송해드립니다. <br>체험단 상품을 수령하시고 블로그를 비롯한 SNS 채널에 체험후기를 사진과 함께 정성껏 남겨주시면 됩니다.,default,END
30,0_0-N,알겠습니다~,default,END
30,0_0-O,"네, 아니오가 아닌 다른 답변을 주셨네요! <br>다른 도움이 필요하신가요? 질문해주세요!",default,BACK
31,0,고객님 체험단 당첨되셨군요! 축하드립니다!  <br>개별적으로 안내된 배송비 입금 기간 내 배송비 결제완료하셨나요? 네 아니오로 말씀해주세요~,default,YNO
31,0-Y,"배송비 결제까지 완료하셨는데 체험단 상품을 아직 받지 못하셨군요! <br>죄송합니다. <br>제가 지금 바로 처리해드리고 싶지만, 인공지능인 저에겐 아직 조금 어려워요. <br> 동원몰 고객센터 1588-3745로 연락주시면 전문 상담원이 도와드리겠습니다!",default,END
31,0-N,"고객님 죄송하지만, 기한내에 배송료를 결제 하셔야지만 출고가 가능합니다.<br>'이벤트'-'당첨자 발표'란에서 배송료 결제 기한을 확인하신후 배송료 결제 기한이 지나지 않았다면, 페이지 내의 링크 통해서 배송료를 결제해주시고<br>만약 배송료 결제기한이 지났다면, 이미 전산 처리 및 출고 처리가 완료되어 별도 처리가 불가능합니다. <br>도움을 드리지 못해 죄송합니다. <br>다음 기회에 꼭~ 체험단 상품 만나뵐 수 있었으면 좋겠네요!",default,END
31,0-O,"네, 아니오가 아닌 다른 답변을 주셨네요! <br>다른 도움이 필요하신가요? 질문해주세요!",default,BACK
32,0,고객님 체험단 당첨되셨군요! 축하드립니다! <br>체험단 제품 수령에 필요한 배송비를 씨앗으로 교환한 배송비 할인쿠폰으로 결제할 수 있는지 문의주셨네요.,default,seq
32,0_0,"죄송하지만 체험단 배송비 결제는 배송비 쿠폰으로는 결제가 되지 않습니다. <br>체험단 배송비는 카드결제 혹은 무통장입금, 실시간 계좌이체 결제만 가능합니다. <br>이점 양해 부탁드립니다.",default,END
33,0,"고객님 체험단이벤트 당첨되셨나요? 당첨을 축하드립니다~<br>당첨 결과 및 세부 내용은 아래의 '당첨자발표 보러가기'를<br>클릭하시면 당첨 결과 페이지로<br>이동합니다!<br><br><a href=""javascript:window.parent.postMessage('http://www.dongwonmall.com/event/winList.do','*')"">'당첨자발표 보러가기'</a>",default,END
34,0,"고객님 일반적으로 당첨 경품의 제세공과금을 입금마감일까지 입금하시면 입금 마감 익일에 경품이 배송되며, 자세한 사항은 당첨자 안내 시 게재됩니다.<br>경품은 응모 시 회원정보의 자택 주소지로 배송되며, 이메일이 발송되는 경우에도 기본 정보상에 입력하신 메일주소로 발송되오니 평상시 연락처, 주소, 이메일 주소 등의 회원정보를 정확히 업데이트하여 주시기 바랍니다. 또한 메일수신 여부에 동의 체크해주세요!",default,seq
34,0_0,"구매고객 당첨 경품일 경우 경품을 받은 이후에 구매하신 상품을 취소하시면 경품을 회수하며, 비정상적인 주문취소가 있을 경우에는 본인 확인절차 없이 경품당첨을 취소 처리합니다.<br><br>추가 문의사항이 있으실 경우 1:1 맞춤상담에 문의하시면 맞춤 답변을 받으실 수 있습니다.<br><a href='javascript:window.parent.postMessage(\""http://www.dongwonmall.com/customer/counsel.do\"",\""*\"")'>\n<button class=\""ext_btn\"" type=\""button\"">고객센터 - 1:1 맞춤상담</button></a>",default,END
35,0,"고객님 동원몰에서 진행 중인 이벤트에 대해서 안내해드릴게요!<br> 아래 버튼을 클릭하시면 모든 이벤트를 한 눈에 보실 수 있는 페이지로 이동합니다!<br><br><a href='javascript:window.parent.postMessage(""http://www.dongwonmall.com/event/eventList.do?E_GBN_CD=03"",""*"")'>
<button class=""ext_btn"" type=""button"">이벤트 보러가기</button></a>",default,END
36,0,"고객님 GNC골드카드는 GNC KOREA에서 이용할 수 있는 멤버십카드로, GNC를 사랑해주시는 고객님께 드리는 감사의 마음입니다!<br>온ㆍ오프라인 동시에 사용 가능하며, 가입 선물과 함께 바로 할인 혜택을 누리실 수 있습니다.",default,seq
36,0_0,"<button class=\""dial_btn\"">GNC 골드카드 가입 방법 안내</button><button class=\""dial_btn\"">GNC 골드카드 이용 관련 안내</button><button class=\""dial_btn\"">GNC 골드카드 인증 안내</button><button class=\""dial_btn\"">GNC 골드카드 갱신 안내</button><button class=\""dial_btn\"">GNC 골드카드 혜택 안내</button>",default,END
37,0,"GNC골드카드는 오프라인 전문매장과 동원몰 GNC전문관에서 가입, 발급하실 수 있습니다.<br> 동원몰에서 GNC골드카드 신규가입 또는 갱신 시, 골드카드를 장바구니에 넣고 제품을 함께 결제하시면 골드회원 혜택가로 바로 구매 가능하십니다.",default,seq
37,0_0,"<font style=\""color:red\"">로그인 후</font> 아래의 버튼을 클릭하시면 가입 페이지로 이동합니다.<br><br><a href='javascript:window.parent.postMessage(\""http://www.dongwonmall.com/mypage/gncgoldcard/gncGoldCard.do?view=NEW\"",\""*\"")'>\n<button class=\""ext_btn\"" type=\""button\"">GNC골드카드 가입</button></a>",default,END
38,0,"GNC골드카드 갱신(재가입) 회원님을 위해 가입비를 40% 할인해드려요!<br> 12,000원으로 GNC골드카드 회원만의 특별한 혜택을 계속 누리세요~",default,seq
38,0_0,"<font style=\""color:red\"">로그인 후</font> 아래의 버튼을 클릭하시면 갱신 페이지로 이동합니다.<br><br><a href='javascript:window.parent.postMessage(\""http://www.dongwonmall.com/mypage/gncgoldcard/gncGoldCard.do?view=REJOIN\"",\""*\"")'>\n<button class=\""ext_btn\"" type=\""button\"">GNC골드카드 갱신</button></a>",default,END
39,0,GNC골드카드 신규 발급 후 인증까지 마치시면 동원몰에서 GNC골드카드 회원 혜택가로 바로 주문 가능합니다!<br>또한 GNC오프라인 매장에서도 사용 가능합니다.,default,END
40,0,GNC골드카드 회원으로 가입하신<br>고객님께서는 GNC골드카드 인증을 통해 동원몰에서 GNC골드카드 혜택을 받으실 수 있습니다.,default,seq
40,0_0,"<font style=\""color:red\"">로그인 후</font> 아래의 버튼을 클릭하시면 인증 페이지로 이동합니다.<br><br><a href='javascript:window.parent.postMessage(\""http://www.dongwonmall.com/mypage/gncgoldcard/gncGoldCard.do?view=AUTH\"",\""*\"")'>\n<button class=\""ext_btn\"" type=\""button\"">GNC골드카드 인증</button></a>",default,END
41,0,"1. GNC골드카드 가입 시, 첫 구매부터 골드카드 유효일 내 GNC 전 제품 20% 할인혜택을 받으실 수 있습니다.<br>2. 매월 7일 동안(1일~7일) 진행되는 골드데이 이벤트 기간에는 GNC의 모든 제품이 20% 할인될 뿐 아니라 골드데이 품목에 한해 추가 할인이 진행됩니다.",default,seq
41,0_0,"3. 이벤트(특가할인, 적립금 추가 등) 참여를 통하여 추가 혜택을 받으실 수 있습니다.<br>4. 매달 건강정보와 골드데이 이벤트를 안내하는 정보지를 우편으로 보내드립니다.",default,END
42,0,고객님께서 작성해주신 소중한 상품평은 다른 고객님들께 참고가 되는 동원몰의 귀중한 자산입니다~ <br>상품평을 작성하신 고객님께는 배송비 할인쿠폰으로 교환할 수 있는 동원몰 포인트 ‘씨앗’을 드려요~,default,seq
42,0_0,"일반상품평 작성시 → 100개 <br> 첫 사진상품평(해당 상품의 상품평중 처음으로 등록 해주신 분) 작성시 → 500개 <br> 사진상품평 작성시 → 300개를 드립니다. <br> # 상품평은 등록 즉시 동원몰 사이트에 게재되며, 모두 공개를 원칙으로 합니다. <br> 게시된 상품평의 저작권은 동원몰에 귀속됩니다. <br> 상품평에 적합하지 않은 내용, 미풍양속을 해치는 글, 특정 성분에 관한 효능이 있어 오해의 소지가 있는 내용은 통보 없이 삭제될 수 있습니다. <br> # 불량 상품평으로 3개월 동안 3회 신고 접수 된 경우와 작성하신 상품평을 최근 1개월 동안 3회 삭제하신 경우 상품평 작성 권한이 제한되므로, 유의하시기 바랍니다.",default,END
43,0,고객님 현금성 결제수단으로 결제하신 주문에 한해 현금영수증을 신청하실 수 있습니다.<br>현금성 결제수단으로는 실시간계좌이체/무통장입금이 있습니다.,default,END
44,0,"현금영수증은 현금영수증 발급대상 상품을 1원이상 현금성 결제수단으로 주문하신 건에 대하여 발급이 가능합니다. <br>주문서 작성 페이지에서 위 신청요건을 만족하는 경우 현금영수증 신청부분이 생성됩니다.<br><br>추가 문의사항이 있으실 경우 1:1 맞춤상담에 문의하시면 맞춤 답변을 받으실 수 있습니다.<br><a href='javascript:window.parent.postMessage(""http://www.dongwonmall.com/customer/counsel.do"",""*"")'>
<button class=""ext_btn"" type=""button"">고객센터 - 1:1 맞춤상담</button></a>",default,END
45,0,"발급 받으신 현금영수증은 따로 보관하실 필요가 없습니다.<br>단, 신청하신 현금영수증을 출력하려 하시는 경우 동원몰에 로그인 후 [My 동원몰 - 증빙서류발급] 현금영수증을 출력 하실 수 있으며 발행시점은 발송완료 이후 입니다.<br><br><a href='javascript:window.parent.postMessage(""http://www.dongwonmall.com/mypage/myorder/myOrderPaper.do"",""*"")'>
<button class=""ext_btn"" type=""button"">MY 동원몰 - 증빙서류 발급</button></a>",default,seq
45,0_0,"현금영수증 사용내역은 전산으로 수록되어 현금영수증 홈페이지(httr://현금영수증.kr)에서 3개월간의 사용내역(일자,상호,금액 등) 및 1년간의 월별 사용내역을 확인할 수 있으므로 내역확인이 되면 보관하실 필요는 없습니다.<br>현금영수증 홈페이지(http://현금영수증.kr)에서 결제일 또는 등록일 다음날 9시부터 조회됩니다.<br><br>추가 문의사항이 있으실 경우 1:1 맞춤상담에 문의하시면 맞춤 답변을 받으실 수 있습니다.<br><a href='javascript:window.parent.postMessage(\""http://www.dongwonmall.com/customer/counsel.do\"",\""*\"")'>\n<button class=\""ext_btn\"" type=\""button\"">고객센터 - 1:1 맞춤상담</button></a>",default,END
46,0,"고객님 주문자의 주민등록번호(법인회원의 경우, 사업자등록번호)를 기준으로 현금영수증을 발급해드립니다.<br> 타인 명의로는 발행이 불가합니다.<br><br>추가 문의사항이 있으실 경우 1:1 맞춤상담에 문의하시면 맞춤 답변을 받으실 수 있습니다.<br><a href='javascript:window.parent.postMessage(""http://www.dongwonmall.com/customer/counsel.do"",""*"")'>
<button class=""ext_btn"" type=""button"">고객센터 - 1:1 맞춤상담</button></a>",default,END
47,0,"고객님 세금계산서와 신용카드매출전표, 현금영수증 중 한가지만 발행됩니다.<br>아래와 같은 [세금계산서 교부의무의 면제 등] 부가가치세법 규정에 의거하여 신용카드로 결제하신 고객님께서는 신용카드매출전표만 출력이 가능합니다.<br><br>사업자가 재화 또는 용역을 공급하고 부가가치세법시행령 제32조의 2 제1항의 규정에 의한 신용카드매출전표 등을 교부한 경우, 부가가치세법시행령 제57조 제2항의 규정에 의하여 세금계산서를 교부하지 아니한다.<br><br>즉, 신용카드로 결제하신 경우 신용카드매출전표 출력만 가능하며 세금계산서는 신청 및 발급이 되지 않습니다.<br><br>추가 문의사항이 있으실 경우 1:1 맞춤상담에 문의하시면 맞춤 답변을 받으실 수 있습니다.<br><a href='javascript:window.parent.postMessage(""http://www.dongwonmall.com/customer/counsel.do"",""*"")'>
<button class=""ext_btn"" type=""button"">고객센터 - 1:1 맞춤상담</button></a>",default,END
48,0,"고객님 세금계산서는 주문완료 후 [MY 동원몰 - 증빙서류 발급] 페이지에서 신청가능합니다.
 비회원은 동원몰 고객센터로 문의해주세요.<br><br><a href='javascript:window.parent.postMessage(""http://www.dongwonmall.com/mypage/myorder/myOrderPaper.do"",""*"")'>
<button class=""ext_btn"" type=""button"">MY 동원몰 - 증빙서류 발급</button></a>",default,END
49,0,"결제총액으로 발행되며 할인쿠폰에 의한 할인금액과 배송비는 제외 됩니다.<br>
적립금으로 결제한 금액은 포함됩니다. <br><br>추가 문의사항이 있으실 경우 1:1 맞춤상담에 문의하시면 맞춤 답변을 받으실 수 있습니다.<br><a href='javascript:window.parent.postMessage(""http://www.dongwonmall.com/customer/counsel.do"",""*"")'>
<button class=""ext_btn"" type=""button"">고객센터 - 1:1 맞춤상담</button></a>",default,END
